HLR_Code,Site_ID,Site_Name,State_Code,Lon,Lat,Elev,OWP_Type,Is_CAMELS,Has_SNOTEL
0,04043050,"TRAP ROCK RIVER NEAR LAKE LINDEN, MI",MI,-88.3853928,47.22853637,621.71,normal,TRUE,FALSE
1,06463500,"Long Pine Creek near Riverview, Nebr.",NE,-99.6794472,42.6896361,1988.12,normal,FALSE,FALSE
2,05227500,"MISSISSIPPI RIVER AT AITKIN, MN",MN,-93.7074712,46.5405128,1183.02,normal,FALSE,FALSE
3,03598000,"DUCK RIVER NEAR SHELBYVILLE, TN",TN,-86.4991609,35.48035,683.51,normal,FALSE,FALSE
4,02483000,"TUSCOLAMETA CREEK AT WALNUT GROVE, MS",MS,-89.465,32.58833333,322.71,normal,FALSE,FALSE
5,10141000,"WEBER RIVER NEAR PLAIN CITY, UT",UT,-112.0918866,41.2782765,4200.22,snow-dom,FALSE,FALSE
6,02485700,"HANGING MOSS CREEK NR JACKSON, MS",MS,-90.1447222,32.365,259.77,normal,FALSE,FALSE
7,05330000,"MINNESOTA RIVER NEAR JORDAN, MN",MN,-93.641902,44.69301845,690.08,snow-dom,FALSE,FALSE
8,07153000,"Black Bear Creek at Pawnee, OK",OK,-96.7994788,36.34366537,803.29,normal,FALSE,FALSE
9,03438000,"LITTLE RIVER NEAR CADIZ, KY",KY,-87.721682,36.77782614,391.45,normal,FALSE,FALSE
10,08103800,"Lampasas Rv nr Kempner, TX",TX,-98.0166919,31.0793403,828.54,flashy,FALSE,FALSE
11,03300400,"BEECH FORK AT MAUD, KY",KY,-85.2960686,37.83283985,529.52,normal,TRUE,FALSE
12,11143250,CARMEL R NR CARMEL CA,CA,-121.8805084,36.5391278,NA,normal,FALSE,FALSE
13,13174500,"OWYHEE RV NR GOLD CK, NV",NV,-115.8448067,41.68879428,6118.75,snow-dom,FALSE,FALSE
14,09498500,"SALT RIVER NEAR ROOSEVELT, AZ",AZ,-110.9215037,33.6194949,2177.14,normal,FALSE,FALSE
15,10322000,"MAGGIE CK AT CARLIN, NV",NV,-116.093575,40.71624444,4896.9,snow-dom,FALSE,FALSE
16,14372300,"ROGUE RIVER NEAR AGNESS, OR",OR,-124.0581443,42.5784422,113.81,snow-dom,FALSE,FALSE
17,12323670,"Mill Creek nr Anaconda, MT",MT,-112.9171889,46.0829722,5470,snow-dom,FALSE,FALSE
18,12413370,EF PINE CREEK ABV NABOB CR NEAR PINEHURST ID,ID,-116.2216667,47.47666667,2490,snow-dom,FALSE,FALSE
19,14182500,"LITTLE NORTH SANTIAM RIVER NEAR MEHAMA, OR",OR,-122.5789738,44.7915108,655.41,normal,TRUE,FALSE
20,09057500,"BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR, CO",CO,-106.3339175,39.88026354,7682.66,snow-dom,FALSE,TRUE
